Nombre;Edad;Tr@bajo;Trabajo;Estado_Civil;Nivel_escolaridad;Nivel_escolaridad;Tiene_Credito?;Medio_de_Comunicación;Duracion_ultimo_contacto_seg;Order_D4te;envio23$%3;Segment;Categ;SubCat;V2016;V2017;V2018
ketty-elvira/niño-calderon;58;management;management;married;tertiary;tertiary;no;unknown;261;13/09/17;Regular;Hogares;Tecnología;Cuadernos;22.483;490.004;669.895
yanira-pilar/garcia-barreto;44;technician;technician;single;secondary;secondary;no;unknown;151;25/03/18;Express_Aire;Corporativo;Muebles;Lapiceros_y_Marcadores;52.225;361.837;245.154
milton-marina/hernandez-vega;33;entrepreneur;entrepreneur;married;secondary;secondary;no;unknown;76;26/09/17;Express_Aire;Corporativo;Suplementos_Oficina;Papel;90.924;903.292;166.285
rocio-constanza/mora-lopez;47;blue-collar;blue-collar;married;No informa;No informa;no;unknown;92;14/07/16;Regular;Startups;Suplementos_Oficina;Reglas_tijeras;2.681;823.176;13.273
yeimi-constanza/arenas-torres;33;;;single;No informa;No informa;no;unknown;198;24/06/17;Express_Aire;Startups;Suplementos_Oficina;Telefonos_comunicaciones;68.063;552.045;123.810
claudia-stella/lopez-montoya;35;management;management;married;tertiary;tertiary;no;unknown;139;17/07/18;Express_Aire;Corporativo;Suplementos_Oficina;Papel;25.144;263.574;183.894
#¿NOMBRE?;28;management;management;single;tertiary;tertiary;no;unknown;217;2/01/16;Express_Tierra;Personas;Suplementos_Oficina;Maquinas_Oficina;685;869.217;230.038
ayda-patricia/forero-torres;42;entrepreneur;entrepreneur;divorced;tertiary;tertiary;yes;unknown;38;8/02/18;Express_Tierra;Personas;Suplementos_Oficina;Sillas;91.288;490.689;242.102
sandra-ivan/bolivar-lemus;58;retired;retired;married;primary;primary;no;unknown;5;18/05/18;Regular;Startups;Tecnología;Papel;76.319;158.927;948.683
rosa-/bautista-laverde;43;technician;technician;single;secondary;secondary;no;unknown;55;18/08/17;Regular;Personas;Suplementos_Oficina;Accesorios;35.677;204.282;9.592
elizabeth-/cera-mahecha;41;admin.;admin.;divorced;secondary;secondary;no;unknown;222;30/05/17;Regular;Personas;Suplementos_Oficina;Papel;85.080;441.630;536.436
jorge-yaneth/patiño-lopez;29;admin.;admin.;single;secondary;secondary;no;unknown;137;29/10/17;Regular;Hogares;Suplementos_Oficina;Lapiceros_y_Marcadores;66.922;875.792;577.062
michael-viviana/gomez-peña;53;technician;technician;married;secondary;secondary;no;unknown;517;10/02/16;Regular;Hogares;Tecnología;Telefonos_comunicaciones;19.471;676.278;633.313
victoria-/cendales-arevalo;58;technician;technician;married;No informa;No informa;no;unknown;71;26/11/17;Regular;Corporativo;Muebles;Papel;74.793;957.998;697.400
andrea-consuelo/cortes-giraldo;57;services;services;married;secondary;secondary;no;unknown;174;10/08/18;Express_Tierra;Hogares;Suplementos_Oficina;Libreros;57.663;704.586;812.588
sonia-luz/alaix-martinez;51;retired;retired;married;primary;primary;no;unknown;353;25/11/16;Express_Tierra;Personas;Tecnología;Mesas;81.484;117.020;289.714
luz-helena/castañeda-becerra;45;admin.;admin.;single;No informa;No informa;no;unknown;98;18/07/16;Regular;Startups;Muebles;Sobres;92.218;432.010;954.672
olga-/cabrera-gomez;57;blue-collar;blue-collar;married;primary;primary;no;unknown;38;12/01/16;Regular;Corporativo;Suplementos_Oficina;Muebles_Oficina;75.170;768.805;90.667
luis-/morales-calderon;6;retired;retired;married;primary;primary;no;unknown;219;20/07/16;Regular;Startups;Tecnología;Reglas_tijeras;76.272;98.376;611.880
